species_code,FIA_code,si_min,si_max,CurtisArney_b0,CurtisArney_b1,CurtisArney_b2,Dbw,Wykoff_b0,Wykoff_b1,Bark_b0,Bark_b1,small_tree_b0,small_tree_b1,small_tree_b2,small_tree_b3,small_tree_b4,ln_dds_b0,ln_dds_b1,ln_dds_b2,ln_dds_b3,ln_dds_b4,ln_dds_b5
WI,901,15,110,408.20772475,3.81808285,-0.27210505,0.1,4.4911,-5.7928,-0.25063,0.94349,0.968,1.0301,-0.0468,0.1639,0.4127,-1.109398,1.187096,0.0000001,0.202056,0.093966,0.006303
SS,68,15,80,755.1038099,4.39496421,-0.21778831,0.1,4.3383,-4.5018,-0.25063,0.94349,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.745126,1.313340,-0.000179,0.201048,0.542693,0.004206
BD,951,35,90,293.5715132,3.52261899,-0.35122247,0.1,4.582,-5.0903,-0.35979,0.95322,4.7633,0.7576,-0.0194,6.511,-0.4156,-1.848106,1.424209,-0.001488,0.289244,0.253525,0.003499
EL,972,35,90,1005.80672,4.6473994,-0.20336143,0.1,4.3744,-4.5257,-0.42027,0.96305,6.4362,0.6827,-0.0194,10.9767,-0.5477,-2.356235,1.479429,-0.000517,0.425367,-0.083383,0.002767
WE,972,35,90,1001.672885,4.57310438,-0.18898217,0.1,4.5992,-7.7428,-0.42027,0.96305,6.4362,0.6827,-0.0194,10.9767,-0.5477,-0.790138,0.949707,0.0000001,0.100266,0.348136,0.004360
AE,972,35,90,418.5941897,3.17038578,-0.18964025,0.1,4.6008,-7.2732,-0.42027,0.96305,6.4362,0.6827,-0.0194,10.9767,-0.5477,-0.510736,1.164789,0.0000001,0.127893,0.516517,0.000450
RL,972,35,90,1337.547184,4.48953501,-0.14749529,0.1,4.6238,-7.4847,-0.42027,0.96305,6.4362,0.6827,-0.0194,10.9767,-0.5477,-0.229212,1.060275,0.0000001,0.116801,0.430393,-0.001806
OS,68,15,55,212.7932729,3.47154903,-0.3258523,0.3,4.3898,-5.7183,-0.38344,0.91915,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.864431,1.403065,-0.001237,0.273616,0.177408,-0.000374
OH,68,15,55,109.7324294,2.25025802,-0.41297463,0.2,3.9392,-3.4279,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.431973,1.452294,-0.001475,0.061077,-0.208915,0.004856
OT,68,15,55,1021.35552,8.3958757,-0.10372075,0.2,3.9089,-3.0149,-0.25063,0.94349,0.9276,1.0591,-0.0424,0.3529,0.3114,-1645961,1.447657,-0.002158,0.241038,0.719652,-0.003250
